date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-21 23:50:35,oxoxjazzz,,0,2,1,"i’m toxic nasty &amp; bipolar you gone love & hate it here IDGAF",,,,1241512561151029251,https://twitter.com/oxoxjazzz/status/1241512561151029251
2020-03-28 20:07:18,sergistack,,192,478,1084,"¿USAS GOOGLE CHROME? Lo siento por las mayúsculas, pero existe un nuevo navegador que es más rápido y más privado que Chrome (bloquea los anuncios y los rastreadores, lo cual ahorra tiempo de carga). La interfaz es exactamente igual que la de Chrome, Brave lo supera en todo.",,,,1243993087531266049,https://twitter.com/sergistack/status/1243993087531266049
2020-03-21 23:35:42,SelfMadeNae_,,0,0,0,"It’s The First Day Of Spring And It Don’t Even Feel Like It I’m Tired Of This Bipolar Ass Weather",,,,1241508814639292416,https://twitter.com/SelfMadeNae_/status/1241508814639292416
2020-03-21 23:34:33,_mnonu562,,0,2,1,"This some bipolar ass weather",,,,1241508524959514624,https://twitter.com/_mnonu562/status/1241508524959514624
2020-03-21 23:02:59,TrippyKicka,,0,0,0,"I think my bipolar starting to kick in",,,,1241500583565107200,https://twitter.com/TrippyKicka/status/1241500583565107200
2020-03-21 22:51:20,bigkeen41,Rosamejia__,1,1,2,"Bipolar mf!!!",,,,1241497649804607488,https://twitter.com/bigkeen41/status/1241497649804607488
2020-03-21 21:59:52,SayHeyToMyWilly,,0,0,0,"I might be Bipolar... might be",,,,1241484700130004993,https://twitter.com/SayHeyToMyWilly/status/1241484700130004993
2020-03-21 21:41:18,SarahHammett3,,0,0,0,"The weather at my moms is so bipolar",,,,1241480024655527936,https://twitter.com/SarahHammett3/status/1241480024655527936
2020-03-21 21:37:43,Sharits,,0,0,0,"""Coronavirus"" '20, acrylic on canvas, 20 x 16 inches http://Christophersharits.com #sharits #abstract #art #abstractart #artist #bipolar #denver #colorado #vail #aspen #expressionist #popart #expressionistic #breckenridge… https://www.instagram.com/p/B-AtM9fnZO9/?igshid=1xzyrly02xgw5 …",,,#sharits #abstract #art #abstractart #artist #bipolar #denver #colorado #vail #aspen #expressionist #popart #expressionistic #breckenridge,1241479122850906112,https://twitter.com/Sharits/status/1241479122850906112
2020-03-21 21:27:57,SONCJae,AutysticallyMe,0,0,1,"That was me with my Dx of Bipolar I at age 21. I have family history (at least the last 3 generations in my family had it, maybe more). I had all the symptoms, and when I was formally diagnosed, it was actually more of a relief than anything. “Not if, but when” was the case.",,,,1241476667123646471,https://twitter.com/SONCJae/status/1241476667123646471
2020-03-21 21:14:12,Sharits,,0,0,0,"""Crack I and Crack II"" '20, acrylic on canvas, 10 x 8 inches http://Christophersharits.com #sharits #abstract #art #abstractart #artist #bipolar #denver #colorado #vail #aspen #expressionist #breckenridge #telluride… https://www.instagram.com/p/B-AqgtzHghC/?igshid=u0uxb256g66l …",,,#sharits #abstract #art #abstractart #artist #bipolar #denver #colorado #vail #aspen #expressionist #breckenridge #telluride,1241473207820926976,https://twitter.com/Sharits/status/1241473207820926976
2020-03-21 21:10:50,Sharits,,0,0,0,"""Contact"" '20, acrylic on canvas, 20 x 16 inches. http://Christophersharits.com #sharits #abstract #art #abstractart #artist #bipolar #denver #colorado #vail #aspen #expressionist #popart #expressionistic #breckenridge… https://www.instagram.com/p/B-AqH7AnbC6/?igshid=3xyfnnv0ru0d …",,,#sharits #abstract #art #abstractart #artist #bipolar #denver #colorado #vail #aspen #expressionist #popart #expressionistic #breckenridge,1241472357178527754,https://twitter.com/Sharits/status/1241472357178527754
2020-03-21 21:10:33,Raymond6660,Bipolar_B,0,0,0,"4 10 hour days.",,,,1241472287657938946,https://twitter.com/Raymond6660/status/1241472287657938946
2020-03-21 20:48:56,JosLuce15273865,anavas4,0,1,2,"Desviación psicológica, bipolar es esa alma en pena",,,,1241466846282280960,https://twitter.com/JosLuce15273865/status/1241466846282280960
2020-03-21 20:48:03,RazzleDazzle427,stefondiggs,0,0,0,"Orrrr you’re bipolar is acting up. https://twitter.com/stefondiggs/status/1241451421918208005 …",,,,1241466627222274048,https://twitter.com/RazzleDazzle427/status/1241466627222274048
2020-03-21 19:41:46,Mr__NRG,RascoeTheGreat,0,0,0,"That’s all you can do at this point...and yes that bipolar weather",,,,1241449942847086593,https://twitter.com/Mr__NRG/status/1241449942847086593
2020-03-21 18:39:44,RashidaGardener,,0,0,1,"And now I’m gorgeous. I live in a family full of bipolar ppl",,,,1241434331836530691,https://twitter.com/RashidaGardener/status/1241434331836530691
2020-03-21 18:26:24,AmandaSoprano,dangerblond,1,0,2,"I have when ppl tell me I can cure my bipolar disorder with a walk and some fresh air.",,,,1241430979241222146,https://twitter.com/AmandaSoprano/status/1241430979241222146
2020-03-21 18:15:30,mattieniebuhr,,0,0,8,"oh how i love bipolar texas weather pic.twitter.com/OU1Q8ITuWZ",,,,1241428236929826817,https://twitter.com/mattieniebuhr/status/1241428236929826817
2020-03-21 17:41:56,nmcrawford,,1,1,6,"Hey everyone! I started a YouTube channel chronicling my life with #bipolar. I’d love for you to check it out! https://youtu.be/zrTJNFc-qK0",,,#bipolar,1241419786862628869,https://twitter.com/nmcrawford/status/1241419786862628869
2020-03-21 17:33:32,bipolar__gamer,CashApp,0,0,0,"LETS GOOO #CashApp You guys are awesome! $carlsexton Could for sure use the help.",,,#CashApp,1241417673973682177,https://twitter.com/bipolar__gamer/status/1241417673973682177
2020-03-21 17:02:20,VickyBrodsky,,0,0,0,"Back to reading from a script. The man is bipolar. #COVIDー19 #Trumpdemic",,,#COVIDー19 #Trumpdemic,1241409821770842112,https://twitter.com/VickyBrodsky/status/1241409821770842112
2020-03-28 20:07:18,sergistack,,192,478,1084,"¿USAS GOOGLE CHROME? Lo siento por las mayúsculas, pero existe un nuevo navegador que es más rápido y más privado que Chrome (bloquea los anuncios y los rastreadores, lo cual ahorra tiempo de carga). La interfaz es exactamente igual que la de Chrome, Brave lo supera en todo.",,,,1243993087531266049,https://twitter.com/sergistack/status/1243993087531266049
2020-03-21 16:40:20,BREEZiieBtchYDK,LUCii_isHerName,1,0,0,"im bipolar you know that",,,,1241404287076401157,https://twitter.com/BREEZiieBtchYDK/status/1241404287076401157
2020-03-21 16:36:33,Roxana_rib,Jero_Mtz,0,0,0,"mi amigo es muy bipolar https://twitter.com/Jero_Mtz/status/1241402001633787910 …",,,,1241403334826676224,https://twitter.com/Roxana_rib/status/1241403334826676224
2020-03-21 15:33:48,beexoxo_,kingpedr0_,1,0,2,"That was my thought when I stepped outside this morning but then remembered how bipolar Houston is https://twitter.com/kingpedr0_/status/1241379218707144705 …",,,,1241387543498756098,https://twitter.com/beexoxo_/status/1241387543498756098
2020-03-21 14:27:44,kristincolino,,1,5,2,"Bipolar & Managing Stress from COVID-19 @BipolarBattlehttps://www.bphope.com/bipolar-buzz/bipolar-managing-stress-from-covid-19/ …",,@BipolarBattlehttps,,1241370917030133760,https://twitter.com/kristincolino/status/1241370917030133760
2020-03-21 13:29:08,brandonb202,_alaysiaaaaaa,0,1,3,"This might be the cure to my bipolar disorder https://twitter.com/_alaysiaaaaaa/status/1241112798932996104 …",,,,1241356166497734658,https://twitter.com/brandonb202/status/1241356166497734658
2020-03-21 12:24:20,caycepollard1,,0,0,0,"#mentalhealth as well. The rich are allowed to have a mental health crisis--they can afford to stop working while being treated for #depression or #anxiety or #bipolar. They glamorize illness. The #poor cannot afford to have an #illness. Any illness.https://www.theguardian.com/commentisfree/2020/mar/21/rich-famous-coronavirus-tests-covid-19-tom-hanks …",,,#mentalhealth #depression #anxiety #bipolar #poor #illness,1241339859794407429,https://twitter.com/caycepollard1/status/1241339859794407429
2020-03-21 11:26:42,___kwp,,0,0,0,"i’m really bipolar asf.. i need to chill out.",,,,1241325358210785280,https://twitter.com/___kwp/status/1241325358210785280
