date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-18 23:58:20,SavedBy_Jbell,,1,0,1,"In about 2 weeks people are just gonna be mad about Coronavirus, ain’t gonna be anymore meme’s, jokes, etc. depression will set in",,,,1240427348828147719,https://twitter.com/SavedBy_Jbell/status/1240427348828147719
2020-03-18 23:58:03,lasteve423,,2,5,10,"If the ‘08 crash was actually deeper than the Great Depression then what the hell are we living through now? This feels exponentially worse!",,,,1240427278355456000,https://twitter.com/lasteve423/status/1240427278355456000
2020-03-18 23:54:41,DaLazinessDood,yungcath,0,0,18,"I'm stealing, this while I battle depression. Like is a subtweet https://twitter.com/yungcath/status/1240067951249817602 …",,,,1240426429432696832,https://twitter.com/DaLazinessDood/status/1240426429432696832
2020-03-18 23:53:45,c_legoz1204,daveharrell16,1,0,0,"Well I maintained this opinion from the beginning the reaction is overhyped the virus is not that dangerous it’s not as deadly as the flu it will not be as deadly as the flu and the ensuing depression that will result from all these draconian measures will kill far more people",,,,1240426195319169027,https://twitter.com/c_legoz1204/status/1240426195319169027
2020-03-18 23:53:38,Stevejr993,OfficialTAZ,0,0,0,"Lost my job due the covid19 now I am sitting here worried about how my Bill's or rent will be paid my worst nightmare has become reality Depression doesn't help either. I look forward to #AEWDynamite tonight to sit back relax and forget about this nightmare Thank @AEWrestling",,@AEWrestling,#AEWDynamite,1240426165992599552,https://twitter.com/Stevejr993/status/1240426165992599552
2020-03-18 23:47:12,_cauote,chiefchimpanzee,0,0,2,"Was about to take my 4th quarantine depression nap and saw this and https://twitter.com/chiefchimpanzee/status/1240051404145901568 …",,,,1240424546223546368,https://twitter.com/_cauote/status/1240424546223546368
2020-03-18 23:46:43,_willsomerville,,0,0,0,"Quarantine + A weeknd Album = depression",,,,1240424425549369345,https://twitter.com/_willsomerville/status/1240424425549369345
2020-03-18 23:45:18,lictoriavewie,,0,0,3,"Studies show that watching Ryan Gosling movies can significantly improve your quarantine depression by 89%",,,,1240424068219887618,https://twitter.com/lictoriavewie/status/1240424068219887618
2020-03-18 23:45:00,yinzerchemist,SRuhle,0,0,0,"Yet how come I feel “this must be what people felt like in late 1929/early 1930) ? It will be The GREATEST Depression making #GreatDepression look so so small. @realDonaldTrump will be so proud. @MargaretHoover at least your family name no longer M U D.https://twitter.com/SRuhle/status/1240418783979855873 …",,@realDonaldTrump @MargaretHoover,#GreatDepression,1240423994173665280,https://twitter.com/yinzerchemist/status/1240423994173665280
2020-03-18 23:44:15,shedrickwoods,,0,0,0,"The suppression of expression leads to depression #StayStrong #NahFr #kbobirdbrainshit @Home Park, Atlanta https://www.instagram.com/p/B95NTL0g_pd/?igshid=i9ys2cjfuhww …",,@Home,#StayStrong #NahFr #kbobirdbrainshit,1240423805689958401,https://twitter.com/shedrickwoods/status/1240423805689958401
2020-03-18 23:43:29,Izzyalright,,0,0,9,"Day 5 of being an extrovert trapped in my apartment. I can feel depression creeping up behind me.",,,,1240423612567498768,https://twitter.com/Izzyalright/status/1240423612567498768
2020-03-18 23:41:48,Stevejr993,,0,0,1,"I got laid off from my job because of #COVIDー19 when depression is real and have to finger out a whole new lifestyle. the one thing I looked forward to the most is #AEWDynamite @AEWrestling @IAmJericho @JonMoxley @CodyRhodes",,@AEWrestling @IAmJericho @JonMoxley @CodyRhodes,#COVIDー19 #AEWDynamite,1240423185637613570,https://twitter.com/Stevejr993/status/1240423185637613570
